code,name,routes,direction,link,id,"Latitude,Longitude"
100294	,BRUCKNER BLVD/EAST TREMONT AV,"BX5, BXM8, Q50",NE,https://bustime.mta.info/m/index?q=100294,MTA_100294,"40.833162, -73.827592"
100295	,BRUCKNER BLVD/LOGAN AV,BX5,NE,https://bustime.mta.info/m/index?q=100295,MTA_100295,"40.834136, -73.825631"
100296	,BRUCKNER BLVD/KEARNEY AV,"BX5, Q50",N,https://bustime.mta.info/m/index?q=100296,MTA_100296,"40.83914, -73.824851"
100298	,MACDONOUGH PL/COUNTRY CLUB RD,"BX5, Q50",N,https://bustime.mta.info/m/index?q=100298,MTA_100298,"40.842501, -73.82511"
100299	,BRUCKNER BLVD/MIDDLETOWN RD,"BX5, BX24",N,https://bustime.mta.info/m/index?q=100299,MTA_100299,"40.845754, -73.825391"
100322	,BRUCKNER BLVD/WILLOW LA,"BX5, BX24, Q50",S,https://bustime.mta.info/m/index?q=100322,MTA_100322,"40.848936, -73.828039"
100323	,BRUCKNER BLVD/ROBERTS AV,"BX5, BX24",SE,https://bustime.mta.info/m/index?q=100323,MTA_100323,"40.846613, -73.826719"
100324	,BRUCKNER BLVD/MIDDLETOWN RD,BX5,S,https://bustime.mta.info/m/index?q=100324,MTA_100324,"40.844904, -73.826192"
100325	,BRUCKNER BLVD/JARVIS AV,"BX5, BX24, BXM8, Q50",S,https://bustime.mta.info/m/index?q=100325,MTA_100325,"40.843134, -73.826298"
100326	,BRUCKNER BLVD/CODDINGTON AV,BX5,S,https://bustime.mta.info/m/index?q=100326,MTA_100326,"40.841438, -73.826168"
100328	,BRUCKNER BLVD/BAISLEY AV,"BX5, BXM8, Q50",S,https://bustime.mta.info/m/index?q=100328,MTA_100328,"40.837136, -73.825919"
100329	,BRUCKNER BLVD/CROSBY AV,BX5,SW,https://bustime.mta.info/m/index?q=100329,MTA_100329,"40.834499, -73.826158"
100330	,BRUCKNER BLVD/EAST TREMONT AV,"BX5, Q50",SW,https://bustime.mta.info/m/index?q=100330,MTA_100330,"40.832977, -73.829074"
100331	,BRUCKNER BLVD/GIFFORD AV,BX5,SW,https://bustime.mta.info/m/index?q=100331,MTA_100331,"40.831307, -73.831724"
100337	,STORY AV/BOLTON AV,BX5,W,https://bustime.mta.info/m/index?q=100337,MTA_100337,"40.824164, -73.859675"
100339	,STORY AV/TAYLOR AV,BX5,W,https://bustime.mta.info/m/index?q=100339,MTA_100339,"40.823533, -73.864002"
