code,link,direction,id,locationType,"Latitude,Longitude",name,routeIds,bus names,wheelchairBoarding
'402227',https://bustime.mta.info/m/index?q=402227,NW,MTA_402227,0,"40.762524, -73.972826",E 57 ST/MADISON AV,"['MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM25', 'MTA NYCT_SIM31', 'MTA NYCT_X27', 'MTA NYCT_X28', 'MTA NYCT_X37', 'MTA NYCT_X38']","['SIM8', 'SIM8X', 'SIM25', 'SIM31', 'X27', 'X28', 'X37', 'X38']",UNKNOWN
'403458',https://bustime.mta.info/m/index?q=403458,NE,MTA_403458,0,"40.752028, -73.979748",MADISON AV/E 41 ST,"['MTA NYCT_M1', 'MTA NYCT_SIM4C', 'MTA NYCT_SIM31', 'MTA NYCT_SIM33C']","['M1', 'SIM4C', 'SIM31', 'SIM33C']",UNKNOWN
'403620',https://bustime.mta.info/m/index?q=403620,SE,MTA_403620,0,"40.762047, -73.971943",E 57 ST/MADISON AV,"['MTA NYCT_M31', 'MTA NYCT_M57', 'MTA NYCT_SIM6', 'MTA NYCT_SIM8', 'MTA NYCT_SIM11', 'MTA NYCT_SIM22', 'MTA NYCT_SIM25', 'MTA NYCT_SIM26', 'MTA NYCT_SIM31']","['M31', 'M57', 'SIM6', 'SIM8', 'SIM11', 'SIM22', 'SIM25', 'SIM26', 'SIM31']",UNKNOWN
'404228',https://bustime.mta.info/m/index?q=404228,SW,MTA_404228,0,"40.752548, -73.981679",5 AV/W 40 ST,"['MTA NYCT_SIM1C', 'MTA NYCT_SIM3', 'MTA NYCT_SIM3C', 'MTA NYCT_SIM10', 'MTA NYCT_SIM31', 'MTA NYCT_SIM33C']","['SIM1C', 'SIM3', 'SIM3C', 'SIM10', 'SIM31', 'SIM33C']",UNKNOWN
'404300',https://bustime.mta.info/m/index?q=404300,NE,MTA_404300,0,"40.760615, -73.973461",MADISON AV/E 54 ST,"['MTA NYCT_SIM4C', 'MTA NYCT_SIM6', 'MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM11', 'MTA NYCT_SIM22', 'MTA NYCT_SIM31', 'MTA NYCT_SIM33C', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']","['SIM4C', 'SIM6', 'SIM8', 'SIM8X', 'SIM11', 'SIM22', 'SIM31', 'SIM33C', 'X63', 'X64', 'X68']",UNKNOWN
'404833',https://bustime.mta.info/m/index?q=404833,NW,MTA_404833,0,"40.740491, -73.986847",E 23 ST/PARK AV SOUTH,"['MTABC_BM1', 'MTABC_BM2', 'MTABC_BM3', 'MTABC_BM4', 'MTA NYCT_M23+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31']","['BM1', 'BM2', 'BM3', 'BM4', 'M23+', 'SIM3', 'SIM6', 'SIM10', 'SIM11', 'SIM31']",UNKNOWN
'405011',https://bustime.mta.info/m/index?q=405011,NW,MTA_405011,0,"40.760812, -73.968693",E 57 ST/LEXINGTON AV,"['MTA NYCT_SIM8', 'MTA NYCT_SIM8X', 'MTA NYCT_SIM22', 'MTA NYCT_SIM25', 'MTA NYCT_SIM26', 'MTA NYCT_SIM31']","['SIM8', 'SIM8X', 'SIM22', 'SIM25', 'SIM26', 'SIM31']",UNKNOWN
'450122',https://bustime.mta.info/m/index?q=450122,SW,MTA_450122,0,"40.759735, -73.976414",5 AV/W 51 ST,"['MTABC_BXM11', 'MTA NYCT_SIM10', 'MTA NYCT_SIM31']","['BXM11', 'SIM10', 'SIM31']",UNKNOWN
'905046',https://bustime.mta.info/m/index?q=905046,S,MTA_905046,0,"40.560931, -74.171352",ELTINGVILLE/TRANSIT CENTER,"['MTA NYCT_S55', 'MTA NYCT_S56', 'MTA NYCT_S59', 'MTA NYCT_S74', 'MTA NYCT_S89', 'MTA NYCT_SIM1', 'MTA NYCT_SIM1C', 'MTA NYCT_SIM4', 'MTA NYCT_SIM5', 'MTA NYCT_SIM6', 'MTA NYCT_SIM7', 'MTA NYCT_SIM8', 'MTA NYCT_SIM10', 'MTA NYCT_SIM15', 'MTA NYCT_SIM31']","['S55', 'S56', 'S59', 'S74', 'S89', 'SIM1', 'SIM1C', 'SIM4', 'SIM5', 'SIM6', 'SIM7', 'SIM8', 'SIM10', 'SIM15', 'SIM31']",UNKNOWN
'905220',https://bustime.mta.info/m/index?q=905220,W,MTA_905220,0,"40.608569, -74.13264",NORTH GANNON AV/BRADLEY AV,['MTA NYCT_SIM31'],['SIM31'],UNKNOWN
